Bib,Wave,Division,AgeDivision,Gender,PreviousBestTime,TimeToHut,TimeToRoad,TotalTime
0,8,OpenW,1,0,14262,10454,13424,14128
0,3,OpenM,1,1,11474,8123,10246,10842
0,10,MastersW,2,0,,12584,15991,16775
0,10,OpenW,1,0,,12657,15986,16775
0,7,OpenM,1,1,13659,9813,12487,13079
0,8,MastersM,2,1,,9998,13521,14368
0,11,OpenM,1,1,,10818,14114,14894
0,11,OlderM,3,1,,12173,15436,16096
0,6,OpenW,1,0,,9299,12083,12753
0,10,OpenW,1,0,16022,12155,15509,16290
0,5,OpenW,1,0,13276,9650,12576,13303
0,10,OpenM,1,1,,10355,13881,14735
0,3,OpenW,1,0,11572,8216,10625,11279
0,3,OpenM,1,1,,9599,13222,13960
0,7,MastersM,2,1,,8757,12480,13392
0,8,OpenM,1,1,14854,11192,14471,15289
0,11,OldestW,4,0,,13861,17377,18148
0,6,OpenW,1,0,,11851,15172,15878
0,2,OpenM,1,1,9789,8633,11429,12224
0,10,OpenW,1,0,,9141,12092,12904
0,0,MastersM,2,1,7607,5892,7552,8030
0,6,OpenM,1,1,,8119,10237,10697
0,7,OpenM,1,1,,9832,12700,13356
0,6,OpenM,1,1,,8718,11235,11834
0,6,OpenW,1,0,,10797,14095,14827
0,2,OpenM,1,1,,13592,17477,18314
0,2,MastersM,2,1,12494,8270,10694,11304
0,3,MastersM,2,1,,7421,9568,10074
0,2,OpenM,1,1,,7320,9623,10226
0,8,OlderM,3,1,14207,10667,14203,15009
0,2,OpenM,1,1,,8583,11266,11928
0,4,MastersW,2,0,,9505,12376,13072
0,7,MastersM,2,1,14056,9747,12407,13006
0,5,OpenW,1,0,,9647,12140,12682
0,1,OpenW,1,0,10567,7566,9751,10319
0,9,MastersM,2,1,,10141,13035,13727
0,7,MastersM,2,1,14623,10760,13638,14297
0,4,MastersM,2,1,11867,8590,10955,11515
0,6,MastersM,2,1,,8575,11209,11891
0,6,MastersM,2,1,13261,11107,14416,15122
0,7,OldestM,4,1,13694,10250,13154,13863
0,3,OpenM,1,1,,7255,9344,9889
0,1,MastersM,2,1,10017,11543,14989,15902
0,1,OpenM,1,1,,7442,9915,10570
0,1,OpenM,1,1,,8533,10697,11258
0,11,OpenM,1,1,,11716,15043,15766
0,6,OpenM,1,1,,8222,10490,11098
0,1,MastersM,2,1,10288,7563,9729,10327
0,8,MastersM,2,1,11616,8661,11421,12039
0,3,YoungM,0,1,,5990,7651,8072
0,6,OpenM,1,1,,10385,13367,14046
0,0,OpenM,1,1,11009,7301,9372,9932
0,0,OpenM,1,1,9836,8680,10800,11246
0,0,OldestW,4,0,9804,8127,10390,10972
0,1,OpenM,1,1,,7301,9747,10442
0,4,OlderM,3,1,11992,9086,11875,12657
0,3,OpenM,1,1,,7789,10224,10826
0,4,OlderM,3,1,,10308,13483,14097
0,7,OpenM,1,1,13616,9185,12162,12849
0,7,MastersM,2,1,,9853,12608,13291
0,4,OpenM,1,1,,9804,12863,13775
0,7,OpenM,1,1,,10019,13705,14579
0,10,OlderM,3,1,,14680,19651,20702
0,6,OpenM,1,1,12864,9117,11963,12678
0,7,OpenM,1,1,13975,10413,13398,14141
0,9,OlderM,3,1,14648,12531,16100,16889
0,9,OpenM,1,1,15789,10233,13368,14100
0,3,OpenM,1,1,,9176,11755,12239
0,8,MastersM,2,1,,9632,12712,13527
0,7,OlderM,3,1,,9971,12719,13392
0,9,OpenW,1,0,15176,11178,14255,14897
0,3,OldestM,4,1,,8209,10635,11234
0,8,OpenW,1,0,,11968,15331,16084
0,11,OpenW,1,0,,11982,15335,16234
0,10,MastersM,2,1,,11463,14521,15216
0,8,OpenW,1,0,,14740,18458,19156
0,3,OpenM,1,1,,8667,11053,11554
0,10,MastersW,2,0,16334,12372,15914,16655
0,9,OlderW,3,0,,10100,13040,13729
0,6,MastersM,2,1,,9720,12702,13446
0,6,OpenM,1,1,12967,8877,11671,12313
0,6,OpenM,1,1,13138,9118,11738,12369
0,0,MastersW,2,0,10096,8079,10223,10748
0,5,OpenW,1,0,12533,8648,11135,11749
0,8,OpenM,1,1,,10432,13843,14631
0,7,OlderW,3,0,13960,10728,14070,14884
0,3,OpenW,1,0,11637,8743,11221,11856
0,7,MastersW,2,0,14453,10993,14572,15425
0,10,OpenW,1,0,,15116,19097,19975
0,1,OpenM,1,1,9882,6852,8759,9267
0,7,OlderM,3,1,11205,9715,12510,13245
0,6,OpenM,1,1,,14518,18399,19185
0,0,MastersM,2,1,8600,6666,8443,8899
0,2,MastersM,2,1,,7771,10152,10818
0,4,MastersW,2,0,,9967,12799,13438
0,5,MastersW,2,0,16444,11503,14721,15430
0,8,OlderW,3,0,12584,11427,14786,15489
0,6,OpenM,1,1,13466,8878,11424,12040
0,4,OpenM,1,1,12078,8218,10499,11086
0,4,OlderW,3,0,12050,9207,11897,12582
0,7,MastersM,2,1,,13351,17647,18591
0,9,OldestM,4,1,15137,13878,17616,18553
0,9,OpenM,1,1,,10352,13284,14083
0,7,MastersW,2,0,,11007,14141,14859
0,7,OlderW,3,0,12742,11110,14218,15010
0,2,MastersM,2,1,10778,8215,10390,10911
0,1,OpenM,1,1,10111,6776,8693,9266
0,4,OpenM,1,1,,8261,10739,11349
0,9,OpenM,1,1,,9246,11946,12607
0,7,MastersW,2,0,13558,10543,13440,14122
0,7,OpenW,1,0,,13346,17645,18588
0,10,MastersM,2,1,,9593,12261,12934
0,3,MastersM,2,1,,8172,10543,11205
0,8,OpenW,1,0,,11252,14435,15192
0,9,OpenM,1,1,,14044,17957,18928
0,8,OpenW,1,0,,14271,18248,19168
0,9,MastersM,2,1,,11576,14916,15787
0,7,OpenM,1,1,13539,10033,12908,13545
0,11,OpenW,1,0,19060,13729,17456,18325
0,9,MastersM,2,1,14841,9687,12703,13371
0,11,OpenW,1,0,,14168,18305,18997
0,5,OpenM,1,1,12420,9235,11959,12723
0,5,OpenW,1,0,,10235,13102,13750
0,10,OpenM,1,1,,10222,13587,14482
0,10,OpenM,1,1,,10217,13671,14484
0,2,OpenM,1,1,,7191,9228,9771
0,4,MastersM,2,1,,12475,15741,16473
0,0,MastersW,2,0,10275,7036,8994,9515
0,11,OldestM,4,1,19080,13863,17378,18120
0,1,MastersM,2,1,,8139,10528,11128
0,7,MastersM,2,1,,9855,12424,13130
0,0,OpenW,1,0,,7823,10064,10650
0,1,OpenM,1,1,9970,7178,9344,9913
0,1,MastersM,2,1,,,,
0,10,OlderM,3,1,15765,10929,14101,14887
0,5,OpenM,1,1,12593,8951,11594,12221
0,6,OpenW,1,0,,9144,11645,12244
0,5,OlderM,3,1,,10681,13750,14468
0,7,OpenW,1,0,,8649,11136,11749
0,3,OpenM,1,1,,8323,10779,11391
0,10,OpenW,1,0,16518,11295,14429,15177
0,10,MastersW,2,0,16297,13494,17444,18211
0,7,OpenW,1,0,,10090,13266,13958
0,1,OlderM,3,1,11484,9071,12083,12850
0,11,OpenW,1,0,,12455,15904,16752
0,0,OpenM,1,1,,6333,8108,8583
0,1,OpenM,1,1,,7155,9332,9860
0,0,MastersM,2,1,9245,7789,10355,11048
0,0,OpenW,1,0,9484,7478,9570,10124
0,7,YoungM,0,1,,9832,12384,12953
0,2,MastersM,2,1,11022,7713,11233,11946
0,11,MastersM,2,1,,17856,22650,23658
0,0,OpenM,1,1,9642,6850,8865,9379
0,8,OpenM,1,1,,8898,11575,12239
0,10,OldestM,4,1,15889,13682,17660,18571
0,6,OpenM,1,1,,8962,11391,11973
0,6,OpenM,1,1,,9121,11683,12311
0,4,OpenM,1,1,,9006,11713,12310
0,2,MastersM,2,1,,7229,9398,9992
0,6,OlderM,3,1,,9219,12137,12936
0,6,MastersM,2,1,,10678,14080,15030
0,1,OpenM,1,1,10253,7178,9322,9911
0,5,OldestM,4,1,10908,11831,14841,15590
0,0,OpenM,1,1,,6380,8105,8529
0,3,OpenW,1,0,11756,8385,10736,11365
0,6,OpenM,1,1,,11992,15970,16850
0,6,OpenM,1,1,,7673,10056,10622
0,4,OpenM,1,1,,8878,11514,12167
0,11,MastersW,2,0,,11224,14444,15226
0,10,OpenW,1,0,,10888,13605,14198
0,11,MastersW,2,0,,14171,17953,18799
0,11,MastersM,2,1,,14170,17954,18799
0,2,OpenM,1,1,,6717,8626,9156
0,10,MastersW,2,0,18608,13492,17445,18210
0,11,OpenM,1,1,,12420,16075,16876
0,1,OpenM,1,1,,6845,9235,9937
0,2,OlderM,3,1,,8937,11562,12168
0,3,OpenM,1,1,11317,8157,10423,11027
0,9,MastersM,2,1,14929,10683,13844,14585
0,0,OpenM,1,1,7689,5647,7251,7682
0,9,OpenM,1,1,,15683,19921,20729
0,9,OpenW,1,0,,15684,19926,20732
0,5,OlderW,3,0,,19770,24846,25927
